,lat,lon,Department,City,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,P/sqmtr
0,11.006,-74.808,Atlántico,Barranquilla,2.0,2.0,95.0,95.0,280000000.0,Apartamento,2947368.0
2,4.689,-74.05,Cundinamarca,Bogotá D.C,2.0,3.0,125.0,125.0,810000000.0,Apartamento,6480000.0
3,3.446,-76.551,Valle del Cauca,Cali,3.0,2.0,91.0,91.0,495000000.0,Apartamento,5439560.0
4,3.383,-76.537,Valle del Cauca,Cali,3.0,2.0,100.0,100.0,350000000.0,Apartamento,3500000.0
5,3.437,-76.548,Valle del Cauca,Cali,3.0,3.0,155.0,139.0,630000000.0,Apartamento,4064516.0
6,4.723,-74.039,Cundinamarca,Bogotá D.C,3.0,3.0,93.0,93.0,500000000.0,Apartamento,5376344.0
7,4.753,-74.069,Cundinamarca,Bogotá D.C,5.0,4.0,149.0,167.0,850000000.0,Casa,5704697.0
9,3.438,-76.536,Valle del Cauca,Cali,4.0,2.0,300.0,300.0,600000000.0,Casa,2000000.0
10,3.576,-76.489,Valle del Cauca,Yumbo,2.0,2.0,60.0,120.0,170000000.0,Casa,2833333.0
11,3.255,-76.54,Valle del Cauca,Jamundí,3.0,2.0,113.0,98.0,330000000.0,Casa,2920353.0
12,3.364,-76.495,Valle del Cauca,Cali,3.0,2.0,85.0,85.0,240000000.0,Apartamento,2823529.0
13,3.487,-76.495,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,132000000.0,Apartamento,2200000.0
14,3.402,-76.529,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,182000000.0,Apartamento,3033333.0
15,6.179,-75.6,Antioquia,Itagui,2.0,2.0,82.0,82.0,220000000.0,Apartamento,2682926.0
16,4.57,-74.527,Cundinamarca,Anapoima,2.0,2.0,76.0,76.0,520000000.0,Apartamento,6842105.0
17,11.001,-74.81,Atlántico,Barranquilla,3.0,2.0,182.0,182.0,420000000.0,Apartamento,2307692.0
18,4.891,-74.071,Cundinamarca,Chía,3.0,3.0,144.0,144.0,573000000.0,Casa,3979166.0
19,3.59,-76.515,Valle del Cauca,Yumbo,3.0,3.0,70.0,140.0,235000000.0,Casa,3357142.0
20,3.455,-76.533,Valle del Cauca,Cali,4.0,3.0,117.0,117.0,315000000.0,Apartamento,2692307.0
21,11.19,-74.231,Magdalena,Santa Marta,3.0,3.0,134.0,134.0,990000000.0,Apartamento,7388059.0
22,10.993,-74.796,Atlántico,Barranquilla,3.0,3.0,96.0,96.0,270000000.0,Apartamento,2812500.0
23,3.54,-76.276,Valle del Cauca,Cali,3.0,4.0,147.0,147.0,610000000.0,Apartamento,4149659.0
24,6.175,-75.59,Antioquia,Itagui,3.0,4.0,157.0,157.0,410000000.0,Apartamento,2611464.0
25,3.4,-76.501,Valle del Cauca,Cali,6.0,5.0,97.0,285.0,290000000.0,Casa,2989690.0
27,3.379,-76.524,Valle del Cauca,Cali,3.0,2.0,90.0,90.0,300000000.0,Apartamento,3333333.0
28,3.354,-76.542,Valle del Cauca,Cali,3.0,2.0,134.0,134.0,570000000.0,Apartamento,4253731.0
29,3.341,-76.542,Valle del Cauca,Cali,2.0,2.0,94.0,94.0,450000000.0,Apartamento,4787234.0
30,4.474,-74.124,Cundinamarca,Bogotá D.C,4.0,3.0,19.0,57.0,89900000.0,Casa,4731578.0
34,4.675,-74.052,Cundinamarca,Bogotá D.C,2.0,3.0,85.0,85.0,799000000.0,Apartamento,9400000.0
35,4.681,-74.168,Cundinamarca,Bogotá D.C,3.0,2.0,57.0,57.0,160000000.0,Apartamento,2807017.0
36,4.687,-74.091,Cundinamarca,Bogotá D.C,8.0,4.0,350.0,350.0,470000000.0,Casa,1342857.0
38,3.458,-76.556,Valle del Cauca,Cali,2.0,1.0,52.0,52.0,145000000.0,Apartamento,2788461.0
42,11.022,-74.814,Atlántico,Barranquilla,3.0,2.0,96.0,96.0,480000000.0,Casa,5000000.0
43,3.399,-76.521,Valle del Cauca,Cali,3.0,1.0,56.0,56.0,96000000.0,Apartamento,1714285.0
44,3.347,-76.532,Valle del Cauca,Cali,3.0,4.0,139.0,153.0,640000000.0,Apartamento,4604316.0
45,3.426,-76.529,Valle del Cauca,Cali,3.0,1.0,70.0,70.0,160000000.0,Apartamento,2285714.0
46,4.868,-74.042,Cundinamarca,Chía,3.0,2.0,94.0,94.0,330000000.0,Apartamento,3510638.0
47,4.92,-74.026,Cundinamarca,Cajicá,3.0,2.0,125.0,118.0,380000000.0,Apartamento,3040000.0
48,3.271,-76.535,Valle del Cauca,Jamundí,3.0,2.0,62.0,62.0,160000000.0,Apartamento,2580645.0
49,4.72,-74.076,Cundinamarca,Bogotá D.C,3.0,2.0,148.0,153.0,600000000.0,Apartamento,4054054.0
52,4.795,-74.067,Cundinamarca,Bogotá D.C,4.0,3.0,190.0,190.0,780000000.0,Casa,4105263.0
56,3.469,-76.495,Valle del Cauca,Cali,5.0,3.0,80.0,240.0,340000000.0,Casa,4250000.0
57,4.719,-74.067,Cundinamarca,Bogotá D.C,4.0,3.0,290.0,257.0,1000000000.0,Casa,3448275.0
59,4.697,-74.038,Cundinamarca,Bogotá D.C,2.0,3.0,152.0,110.0,650000000.0,Apartamento,4276315.0
61,4.703,-74.039,Cundinamarca,Bogotá D.C,4.0,3.0,208.0,208.0,850000000.0,Apartamento,4086538.0
63,4.678,-74.048,Cundinamarca,Bogotá D.C,2.0,2.0,90.0,90.0,480000000.0,Apartamento,5333333.0
64,4.679,-74.041,Cundinamarca,Bogotá D.C,2.0,2.0,105.0,105.0,830000000.0,Apartamento,7904761.0
67,4.664,-74.134,Cundinamarca,Bogotá D.C,3.0,2.0,81.0,81.0,342000000.0,Apartamento,4222222.0
68,3.451,-76.552,Valle del Cauca,Cali,1.0,2.0,100.0,100.0,545000000.0,Apartamento,5450000.0
69,4.894,-74.028,Cundinamarca,Cajicá,1.0,1.0,42.0,42.0,200000000.0,Apartamento,4761904.0
70,3.51,-76.434,Valle del Cauca,Palmira,1.0,1.0,14.0,14.0,76000000.0,Apartamento,5428571.0
71,4.297,-74.806,Cundinamarca,Girardot,2.0,1.0,72.0,72.0,130000000.0,Casa,1805555.0
72,3.42,-76.54,Valle del Cauca,Cali,2.0,2.0,82.0,98.0,220000000.0,Apartamento,2682926.0
73,3.481,-76.528,Valle del Cauca,Cali,2.0,1.0,68.0,68.0,140000000.0,Apartamento,2058823.0
74,3.45,-76.546,Valle del Cauca,Cali,2.0,2.0,90.0,90.0,585000000.0,Apartamento,6500000.0
75,11.011,-74.832,Atlántico,Barranquilla,2.0,2.0,82.0,82.0,280000000.0,Apartamento,3414634.0
76,11.02,-74.868,Atlántico,Barranquilla,2.0,3.0,84.0,84.0,250000000.0,Apartamento,2976190.0
77,3.444,-76.533,Valle del Cauca,Cali,3.0,2.0,128.0,128.0,150000000.0,Casa,1171875.0
78,3.442,-76.545,Valle del Cauca,Cali,3.0,2.0,90.0,150.0,600000000.0,Casa,6666666.0
80,3.28,-76.527,Valle del Cauca,Jamundí,3.0,3.0,75.0,150.0,315000000.0,Casa,4200000.0
81,3.258,-76.554,Valle del Cauca,Jamundí,3.0,4.0,231.0,180.0,400000000.0,Casa,1731601.0
82,3.407,-76.548,Valle del Cauca,Cali,3.0,2.0,76.0,76.0,190000000.0,Apartamento,2500000.0
83,3.378,-76.519,Valle del Cauca,Cali,3.0,2.0,65.0,65.0,150000000.0,Apartamento,2307692.0
84,3.453,-76.544,Valle del Cauca,Cali,3.0,5.0,185.0,185.0,980000000.0,Apartamento,5297297.0
85,3.383,-76.523,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,150000000.0,Apartamento,2500000.0
86,3.349,-76.519,Valle del Cauca,Cali,3.0,3.0,96.0,96.0,293000000.0,Apartamento,3052083.0
87,3.368,-76.519,Valle del Cauca,Cali,3.0,3.0,83.0,83.0,310000000.0,Apartamento,3734939.0
88,3.366,-76.519,Valle del Cauca,Cali,3.0,3.0,96.0,96.0,300000000.0,Apartamento,3125000.0
89,3.477,-76.505,Valle del Cauca,Cali,3.0,2.0,85.0,85.0,360000000.0,Apartamento,4235294.0
90,3.366,-76.521,Valle del Cauca,Cali,3.0,3.0,96.0,96.0,285000000.0,Apartamento,2968750.0
91,3.373,-76.548,Valle del Cauca,Cali,3.0,3.0,77.0,77.0,165000000.0,Apartamento,2142857.0
92,3.475,-76.493,Valle del Cauca,Cali,3.0,1.0,66.0,66.0,100000000.0,Apartamento,1515151.0
93,6.34,-75.533,Antioquia,Bello,3.0,2.0,77.0,77.0,255000000.0,Apartamento,3311688.0
94,6.34,-75.559,Antioquia,Bello,3.0,2.0,64.0,64.0,220000000.0,Apartamento,3437500.0
95,4.852,-74.062,Cundinamarca,Chía,3.0,2.0,86.0,86.0,330000000.0,Apartamento,3837209.0
96,6.173,-75.611,Antioquia,Itagui,3.0,2.0,88.0,88.0,320000000.0,Apartamento,3636363.0
97,3.857,-76.493,Valle del Cauca,Jamundí,3.0,2.0,79.0,79.0,240000000.0,Apartamento,3037974.0
98,6.242,-75.61,Antioquia,Medellín,3.0,2.0,81.0,81.0,351000000.0,Apartamento,4333333.0
99,4.743,-74.058,Cundinamarca,Bogotá D.C,3.0,1.0,51.0,51.0,220000000.0,Apartamento,4313725.0
100,11.007,-74.792,Atlántico,Barranquilla,3.0,2.0,81.0,81.0,150000000.0,Apartamento,1851851.0
102,3.381,-76.52,Valle del Cauca,Cali,4.0,3.0,87.0,87.0,187000000.0,Casa,2149425.0
103,3.457,-76.551,Valle del Cauca,Cali,4.0,5.0,250.0,250.0,980000000.0,Casa,3920000.0
104,3.363,-76.537,Valle del Cauca,Cali,4.0,5.0,274.0,274.0,800000000.0,Casa,2919708.0
107,4.799,-75.739,Risaralda,Pereira,4.0,4.0,70.0,135.0,240000000.0,Casa,3428571.0
108,6.255,-75.584,Antioquia,Medellín,4.0,4.0,254.0,206.0,750000000.0,Casa,2952755.0
109,10.992,-74.799,Atlántico,Barranquilla,4.0,3.0,500.0,500.0,900000000.0,Casa,1800000.0
112,6.161,-75.576,Antioquia,Envigado,5.0,3.0,184.0,184.0,660000000.0,Casa,3586956.0
115,3.486,-76.518,Valle del Cauca,Cali,7.0,6.0,11.0,330.0,525000000.0,Casa,47727272.0
116,3.418,-76.495,Valle del Cauca,Cali,9.0,4.0,75.0,200.0,180000000.0,Casa,2400000.0
117,3.423,-76.521,Valle del Cauca,Cali,10.0,5.0,175.0,329.0,356000000.0,Casa,2034285.0
118,3.443,-76.52,Valle del Cauca,Cali,12.0,11.0,214.0,214.0,415000000.0,Casa,1939252.0
119,4.697,-74.044,Cundinamarca,Bogotá D.C,1.0,2.0,54.0,54.0,450000000.0,Apartamento,8333333.0
120,4.7,-74.03,Cundinamarca,Bogotá D.C,1.0,2.0,64.0,64.0,515000000.0,Apartamento,8046875.0
121,4.695,-74.037,Cundinamarca,Bogotá D.C,2.0,2.0,87.0,87.0,390000000.0,Apartamento,4482758.0
122,4.687,-74.049,Cundinamarca,Bogotá D.C,2.0,2.0,105.0,105.0,750000000.0,Apartamento,7142857.0
123,4.705,-74.042,Cundinamarca,Bogotá D.C,2.0,3.0,121.0,121.0,830000000.0,Apartamento,6859504.0
124,4.704,-74.028,Cundinamarca,Bogotá D.C,2.0,3.0,129.0,129.0,970000000.0,Apartamento,7519379.0
126,4.719,-74.038,Cundinamarca,Bogotá D.C,3.0,3.0,129.0,129.0,550000000.0,Apartamento,4263565.0
129,4.679,-74.048,Cundinamarca,Bogotá D.C,1.0,1.0,64.0,64.0,580000000.0,Apartamento,9062500.0
130,4.681,-74.053,Cundinamarca,Bogotá D.C,1.0,1.0,55.0,55.0,480000000.0,Apartamento,8727272.0
131,4.678,-74.052,Cundinamarca,Bogotá D.C,2.0,3.0,107.0,107.0,970000000.0,Apartamento,9065420.0
133,4.667,-74.08,Cundinamarca,Bogotá D.C,4.0,3.0,115.0,180.0,920000000.0,Casa,8000000.0
134,3.268,-76.536,Valle del Cauca,Jamundí,1.0,1.0,50.0,30.0,65000000.0,Casa,1300000.0
135,3.396,-76.533,Valle del Cauca,Cali,2.0,2.0,58.0,58.0,260000000.0,Apartamento,4482758.0
136,4.712,-74.047,Cundinamarca,Bogotá D.C,2.0,2.0,65.0,65.0,350000000.0,Apartamento,5384615.0
139,3.434,-76.529,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,205000000.0,Apartamento,3416666.0
140,3.489,-76.519,Valle del Cauca,Cali,3.0,3.0,100.0,100.0,380000000.0,Apartamento,3800000.0
141,7.069,-73.114,Santander,Bucaramanga,3.0,2.0,100.0,100.0,350000000.0,Apartamento,3500000.0
142,7.139,-73.127,Santander,Bucaramanga,3.0,2.0,58.0,58.0,145000000.0,Apartamento,2500000.0
143,11.021,-74.818,Atlántico,Barranquilla,3.0,2.0,86.0,86.0,295000000.0,Apartamento,3430232.0
144,10.986,-74.801,Atlántico,Barranquilla,3.0,2.0,86.0,86.0,250000000.0,Apartamento,2906976.0
145,4.705,-74.027,Cundinamarca,Bogotá D.C,3.0,3.0,122.0,122.0,650000000.0,Apartamento,5327868.0
146,4.708,-74.027,Cundinamarca,Bogotá D.C,3.0,2.0,106.0,106.0,550000000.0,Apartamento,5188679.0
147,4.69,-74.044,Cundinamarca,Bogotá D.C,3.0,3.0,215.0,215.0,900000000.0,Apartamento,4186046.0
148,4.73,-74.038,Cundinamarca,Bogotá D.C,3.0,3.0,84.0,84.0,380000000.0,Apartamento,4523809.0
150,4.747,-74.1,Cundinamarca,Bogotá D.C,3.0,2.0,57.0,57.0,225000000.0,Apartamento,3947368.0
151,4.74,-74.054,Cundinamarca,Bogotá D.C,3.0,4.0,148.0,148.0,885000000.0,Apartamento,5979729.0
152,3.4,-76.501,Valle del Cauca,Cali,4.0,3.0,139.0,139.0,190000000.0,Apartamento,1366906.0
153,4.642,-74.071,Cundinamarca,Bogotá D.C,4.0,3.0,227.0,263.0,795000000.0,Casa,3502202.0
154,4.663,-74.078,Cundinamarca,Bogotá D.C,5.0,6.0,182.0,233.0,750000000.0,Casa,4120879.0
156,3.466,-76.528,Valle del Cauca,Cali,6.0,5.0,285.0,463.0,550000000.0,Casa,1929824.0
158,3.328,-76.634,Valle del Cauca,Cali,1.0,1.0,71.0,71.0,300000000.0,Apartamento,4225352.0
159,4.649,-74.056,Cundinamarca,Bogotá D.C,1.0,1.0,40.0,40.0,230000000.0,Apartamento,5750000.0
160,4.679,-74.043,Cundinamarca,Bogotá D.C,1.0,2.0,67.0,67.0,540000000.0,Apartamento,8059701.0
161,3.486,-76.5,Valle del Cauca,Cali,2.0,1.0,240.0,240.0,360000000.0,Casa,1500000.0
162,3.366,-76.522,Valle del Cauca,Cali,2.0,2.0,90.0,90.0,300000000.0,Apartamento,3333333.0
163,6.34,-75.533,Antioquia,Bello,2.0,2.0,70.0,70.0,196000000.0,Apartamento,2800000.0
164,6.34,-75.533,Antioquia,Bello,2.0,2.0,55.0,55.0,175000000.0,Apartamento,3181818.0
165,6.173,-75.575,Antioquia,Envigado,2.0,2.0,78.0,78.0,360000000.0,Apartamento,4615384.0
166,4.695,-74.038,Cundinamarca,Bogotá D.C,2.0,2.0,62.0,62.0,310000000.0,Apartamento,5000000.0
167,4.704,-74.032,Cundinamarca,Bogotá D.C,2.0,2.0,95.0,95.0,465000000.0,Apartamento,4894736.0
168,7.082,-73.118,Santander,Bucaramanga,2.0,2.0,64.0,64.0,180000000.0,Apartamento,2812500.0
169,11.241,-74.212,Magdalena,Santa Marta,2.0,2.0,89.0,89.0,250000000.0,Apartamento,2808988.0
170,11.001,-74.806,Atlántico,Barranquilla,2.0,2.0,94.0,94.0,200000000.0,Apartamento,2127659.0
171,10.987,-74.956,Atlántico,Puerto Colombia,2.0,2.0,79.0,79.0,340000000.0,Apartamento,4303797.0
172,4.29,-76.357,Valle del Cauca,Cali,3.0,1.0,200.0,200.0,700000000.0,Apartamento,3500000.0
173,3.477,-76.491,Valle del Cauca,Cali,3.0,1.0,60.0,60.0,89000000.0,Apartamento,1483333.0
174,6.34,-75.533,Antioquia,Bello,3.0,2.0,90.0,90.0,250000000.0,Casa,2777777.0
175,11.0,-74.8,Atlántico,Barranquilla,3.0,2.0,413.0,413.0,850000000.0,Casa,2058111.0
176,3.409,-76.552,Valle del Cauca,Cali,3.0,2.0,95.0,95.0,215000000.0,Apartamento,2263157.0
177,3.371,-76.519,Valle del Cauca,Cali,3.0,2.0,90.0,90.0,295000000.0,Apartamento,3277777.0
178,6.328,-75.562,Antioquia,Bello,3.0,2.0,53.0,53.0,158000000.0,Apartamento,2981132.0
179,6.347,-75.532,Antioquia,Bello,3.0,2.0,56.0,56.0,158000000.0,Apartamento,2821428.0
180,6.347,-75.532,Antioquia,Bello,3.0,2.0,56.0,56.0,157000000.0,Apartamento,2803571.0
181,6.34,-75.533,Antioquia,Bello,3.0,2.0,56.0,56.0,175000000.0,Apartamento,3125000.0
182,4.868,-73.958,Cundinamarca,Sopó,3.0,2.0,94.0,94.0,470000000.0,Apartamento,5000000.0
183,6.173,-75.611,Antioquia,Itagui,3.0,2.0,56.0,56.0,210000000.0,Apartamento,3750000.0
184,6.171,-75.592,Antioquia,Envigado,3.0,2.0,85.0,85.0,310000000.0,Apartamento,3647058.0
185,6.245,-75.591,Antioquia,Medellín,3.0,2.0,103.0,103.0,410000000.0,Apartamento,3980582.0
186,6.238,-75.584,Antioquia,Medellín,3.0,2.0,92.0,92.0,365000000.0,Apartamento,3967391.0
187,5.79,-75.427,Antioquia,Medellín,3.0,2.0,68.0,68.0,245000000.0,Apartamento,3602941.0
188,6.244,-75.598,Antioquia,Medellín,3.0,2.0,154.0,124.0,680000000.0,Apartamento,4415584.0
189,4.707,-74.041,Cundinamarca,Bogotá D.C,3.0,2.0,160.0,160.0,680000000.0,Apartamento,4250000.0
190,4.621,-74.157,Cundinamarca,Bogotá D.C,3.0,2.0,52.0,52.0,170000000.0,Apartamento,3269230.0
191,4.729,-74.04,Cundinamarca,Bogotá D.C,3.0,2.0,96.0,96.0,570000000.0,Apartamento,5937500.0
192,4.74,-74.067,Cundinamarca,Bogotá D.C,3.0,2.0,66.0,66.0,380000000.0,Apartamento,5757575.0
193,10.987,-74.814,Atlántico,Barranquilla,3.0,2.0,82.0,82.0,295000000.0,Apartamento,3597560.0
194,10.938,-74.81,Atlántico,Barranquilla,3.0,2.0,70.0,70.0,150000000.0,Apartamento,2142857.0
195,11.001,-74.832,Atlántico,Barranquilla,3.0,2.0,100.0,100.0,340000000.0,Apartamento,3400000.0
196,10.97,-74.792,Atlántico,Barranquilla,3.0,2.0,61.0,61.0,165000000.0,Apartamento,2704918.0
197,3.485,-76.53,Valle del Cauca,Cali,3.0,3.0,165.0,165.0,245000000.0,Casa,1484848.0
198,3.381,-76.518,Valle del Cauca,Cali,3.0,3.0,38.0,111.0,280000000.0,Casa,7368421.0
199,5.026,-74.003,Cundinamarca,Zipaquirá,3.0,3.0,155.0,155.0,530000000.0,Casa,3419354.0
200,11.195,-74.15,Magdalena,Santa Marta,3.0,3.0,108.0,108.0,350000000.0,Casa,3240740.0
201,10.983,-74.83,Atlántico,Barranquilla,3.0,3.0,164.0,164.0,560000000.0,Casa,3414634.0
203,6.26,-75.597,Antioquia,Medellín,3.0,3.0,126.0,126.0,410000000.0,Apartamento,3253968.0
204,6.241,-75.595,Antioquia,Medellín,3.0,3.0,180.0,110.0,680000000.0,Apartamento,3777777.0
205,6.241,-75.595,Antioquia,Medellín,3.0,3.0,90.0,90.0,460000000.0,Apartamento,5111111.0
206,6.237,-75.585,Antioquia,Medellín,3.0,3.0,90.0,90.0,430000000.0,Apartamento,4777777.0
209,4.701,-74.033,Cundinamarca,Bogotá D.C,3.0,3.0,140.0,140.0,630000000.0,Apartamento,4500000.0
210,11.006,-74.815,Atlántico,Barranquilla,3.0,3.0,128.0,128.0,520000000.0,Apartamento,4062500.0
211,11.011,-74.814,Atlántico,Barranquilla,3.0,3.0,150.0,150.0,400000000.0,Apartamento,2666666.0
213,4.794,-74.061,Cundinamarca,Bogotá D.C,3.0,4.0,175.0,155.0,690000000.0,Casa,3942857.0
214,11.017,-74.821,Atlántico,Barranquilla,3.0,4.0,176.0,176.0,490000000.0,Casa,2784090.0
215,11.017,-74.821,Atlántico,Barranquilla,3.0,4.0,170.0,170.0,490000000.0,Casa,2882352.0
216,4.662,-74.049,Cundinamarca,Bogotá D.C,3.0,4.0,154.0,154.0,845000000.0,Apartamento,5487012.0
217,11.012,-74.821,Atlántico,Barranquilla,3.0,4.0,160.0,160.0,690000000.0,Apartamento,4312500.0
219,7.863,-72.5,Norte de Santander,Los Patios,3.0,5.0,178.0,178.0,790000000.0,Apartamento,4438202.0
221,6.211,-75.599,Antioquia,Medellín,4.0,3.0,140.0,140.0,550000000.0,Casa,3928571.0
222,3.35,-76.547,Valle del Cauca,Cali,4.0,4.0,250.0,250.0,700000000.0,Casa,2800000.0
223,3.485,-76.512,Valle del Cauca,Cali,4.0,4.0,150.0,162.0,270000000.0,Casa,1800000.0
224,4.689,-74.036,Cundinamarca,Bogotá D.C,4.0,4.0,159.0,119.0,820000000.0,Casa,5157232.0
226,7.122,-73.108,Santander,Bucaramanga,4.0,4.0,204.0,204.0,630000000.0,Apartamento,3088235.0
227,11.215,-74.184,Magdalena,Santa Marta,4.0,4.0,92.0,92.0,280000000.0,Apartamento,3043478.0
229,7.893,-72.464,Norte de Santander,Villa del Rosario,4.0,5.0,180.0,150.0,570000000.0,Casa,3166666.0
230,4.691,-74.03,Cundinamarca,Bogotá D.C,4.0,5.0,160.0,160.0,600000000.0,Apartamento,3750000.0
231,3.974,-76.385,Valle del Cauca,Jamundí,5.0,3.0,1642.0,247.0,650000000.0,Casa,395858.0
232,3.431,-76.519,Valle del Cauca,Cali,6.0,4.0,125.0,192.0,290000000.0,Casa,2320000.0
233,3.458,-76.533,Valle del Cauca,Cali,6.0,5.0,120.0,360.0,345000000.0,Casa,2875000.0
234,3.481,-76.523,Valle del Cauca,Cali,7.0,7.0,303.0,296.0,590000000.0,Casa,1947194.0
235,4.646,-74.148,Cundinamarca,Bogotá D.C,8.0,4.0,72.0,202.0,485000000.0,Casa,6736111.0
236,3.464,-76.52,Valle del Cauca,Cali,9.0,6.0,138.0,214.0,295000000.0,Casa,2137681.0
238,4.734,-74.278,Cundinamarca,Madrid,2.0,1.0,54.0,54.0,105000000.0,Apartamento,1944444.0
239,4.871,-74.06,Cundinamarca,Chía,3.0,3.0,110.0,110.0,395000000.0,Casa,3590909.0
240,4.924,-74.026,Cundinamarca,Cajicá,3.0,2.0,99.0,99.0,310000000.0,Casa,3131313.0
241,6.336,-75.55,Antioquia,Bello,3.0,2.0,71.0,71.0,260000000.0,Apartamento,3661971.0
242,6.34,-75.533,Antioquia,Bello,3.0,1.0,54.0,54.0,120000000.0,Apartamento,2222222.0
243,4.904,-74.025,Cundinamarca,Cajicá,3.0,2.0,60.0,60.0,190000000.0,Apartamento,3166666.0
244,3.349,-76.536,Valle del Cauca,Cali,4.0,5.0,350.0,640.0,900000000.0,Casa,2571428.0
245,3.449,-76.553,Valle del Cauca,Cali,4.0,5.0,370.0,550.0,960000000.0,Casa,2594594.0
247,3.366,-76.54,Valle del Cauca,Cali,4.0,4.0,365.0,365.0,850000000.0,Casa,2328767.0
248,4.741,-74.059,Cundinamarca,Bogotá D.C,3.0,3.0,144.0,144.0,720000000.0,Casa,5000000.0
250,3.479,-76.5,Valle del Cauca,Cali,3.0,2.0,65.0,65.0,185000000.0,Apartamento,2846153.0
252,3.407,-76.556,Valle del Cauca,Cali,3.0,2.0,70.0,70.0,200000000.0,Apartamento,2857142.0
253,4.691,-74.088,Cundinamarca,Bogotá D.C,4.0,4.0,375.0,375.0,795000000.0,Casa,2120000.0
254,10.997,-74.811,Atlántico,Barranquilla,6.0,4.0,363.0,441.0,940000000.0,Casa,2589531.0
255,4.602,-74.152,Cundinamarca,Bogotá D.C,7.0,3.0,72.0,225.0,540000000.0,Casa,7500000.0
256,4.764,-74.023,Cundinamarca,Bogotá D.C,1.0,1.0,50.0,50.0,359000000.0,Apartamento,7180000.0
257,4.646,-74.067,Cundinamarca,Bogotá D.C,1.0,1.0,39.0,39.0,246275734.0,Apartamento,6314762.0
258,6.214,-75.171,Antioquia,Guatapé,2.0,2.0,79.0,79.0,625000000.0,Casa,7911392.0
259,3.492,-76.518,Valle del Cauca,Cali,2.0,3.0,100.0,100.0,380000000.0,Apartamento,3800000.0
260,6.248,-75.596,Antioquia,Medellín,2.0,2.0,82.0,82.0,280000000.0,Apartamento,3414634.0
261,3.429,-76.549,Valle del Cauca,Cali,2.0,3.0,100.0,100.0,320000000.0,Apartamento,3200000.0
262,3.449,-76.532,Valle del Cauca,Cali,3.0,4.0,98.0,140.0,340000000.0,Casa,3469387.0
263,3.358,-76.527,Valle del Cauca,Cali,3.0,4.0,260.0,160.0,630000000.0,Casa,2423076.0
264,3.473,-76.523,Valle del Cauca,Cali,3.0,3.0,160.0,180.0,440000000.0,Casa,2750000.0
265,3.362,-76.529,Valle del Cauca,Cali,3.0,5.0,224.0,208.0,710000000.0,Casa,3169642.0
266,3.357,-76.518,Valle del Cauca,Cali,3.0,4.0,286.0,207.0,750000000.0,Casa,2622377.0
268,4.896,-74.029,Cundinamarca,Cajicá,3.0,4.0,170.0,170.0,820000000.0,Casa,4823529.0
269,3.395,-76.388,Valle del Cauca,Cali,3.0,3.0,108.0,108.0,370000000.0,Apartamento,3425925.0
270,3.381,-76.539,Valle del Cauca,Cali,3.0,3.0,86.0,86.0,310000000.0,Apartamento,3604651.0
271,3.41,-76.555,Valle del Cauca,Cali,3.0,4.0,115.0,115.0,380000000.0,Apartamento,3304347.0
272,3.393,-76.54,Valle del Cauca,Cali,3.0,2.0,93.0,93.0,320000000.0,Apartamento,3440860.0
273,4.867,-74.047,Cundinamarca,Chía,3.0,2.0,96.0,96.0,360000000.0,Apartamento,3750000.0
274,10.991,-74.828,Atlántico,Barranquilla,3.0,4.0,123.0,123.0,430000000.0,Apartamento,3495934.0
275,3.342,-76.548,Valle del Cauca,Cali,3.0,5.0,127.0,127.0,600000000.0,Apartamento,4724409.0
276,3.342,-76.548,Valle del Cauca,Cali,3.0,5.0,123.0,123.0,600000000.0,Apartamento,4878048.0
277,6.244,-75.595,Antioquia,Medellín,3.0,4.0,135.0,135.0,700000000.0,Apartamento,5185185.0
278,6.248,-75.594,Antioquia,Medellín,3.0,4.0,105.0,105.0,600000000.0,Apartamento,5714285.0
279,3.384,-76.533,Valle del Cauca,Cali,3.0,2.0,96.0,96.0,340000000.0,Apartamento,3541666.0
280,6.204,-75.563,Antioquia,Medellín,3.0,4.0,270.0,270.0,600000000.0,Apartamento,2222222.0
282,3.36,-76.535,Valle del Cauca,Cali,3.0,5.0,153.0,153.0,790000000.0,Apartamento,5163398.0
284,3.398,-76.505,Valle del Cauca,Cali,4.0,5.0,60.0,150.0,287000000.0,Casa,4783333.0
286,3.334,-76.531,Valle del Cauca,Cali,4.0,4.0,1100.0,334.0,750000000.0,Casa,681818.0
287,4.731,-74.063,Cundinamarca,Bogotá D.C,4.0,3.0,84.0,84.0,450000000.0,Casa,5357142.0
288,3.367,-76.5,Valle del Cauca,Cali,2.0,2.0,60.0,60.0,175000000.0,Apartamento,2916666.0
289,3.373,-76.523,Valle del Cauca,Cali,2.0,2.0,60.0,60.0,160000000.0,Apartamento,2666666.0
290,3.358,-76.517,Valle del Cauca,Cali,2.0,2.0,64.0,64.0,155000000.0,Apartamento,2421875.0
291,6.181,-75.6,Antioquia,Itagui,2.0,2.0,59.0,59.0,170000000.0,Apartamento,2881355.0
292,4.746,-75.904,Valle del Cauca,Cali,3.0,3.0,45.0,71.0,160000000.0,Casa,3555555.0
