,lat,lon,Department,City,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,P/sqmtr
4999,3.36,-76.537,Valle del Cauca,Cali,3.0,2.0,65.0,65.0,225000000.0,Apartamento,3461538.0
5001,3.411,-76.515,Valle del Cauca,Cali,3.0,1.0,161.0,180.0,180000000.0,Casa,1118012.0
5002,10.915,-74.81,Atlántico,Soledad,3.0,1.0,60.0,60.0,130000000.0,Casa,2166666.0
5003,10.992,-74.817,Atlántico,Barranquilla,1.0,1.0,40.0,40.0,145000000.0,Apartamento,3625000.0
5004,3.496,-76.503,Valle del Cauca,Cali,3.0,1.0,55.0,55.0,100000000.0,Apartamento,1818181.0
5005,6.249,-75.613,Antioquia,Medellín,1.0,1.0,43.0,43.0,200000000.0,Apartamento,4651162.0
5006,6.249,-75.613,Antioquia,Medellín,2.0,1.0,43.0,43.0,220000000.0,Apartamento,5116279.0
5007,6.214,-75.171,Antioquia,Guatapé,2.0,2.0,79.0,79.0,575000000.0,Casa,7278481.0
5008,3.372,-76.517,Valle del Cauca,Cali,2.0,2.0,65.0,60.0,138000000.0,Apartamento,2123076.0
5009,3.423,-76.548,Valle del Cauca,Cali,3.0,2.0,76.0,76.0,248000000.0,Apartamento,3263157.0
5010,3.393,-76.54,Valle del Cauca,Cali,3.0,2.0,93.0,93.0,320000000.0,Apartamento,3440860.0
5011,3.38,-76.523,Valle del Cauca,Cali,3.0,2.0,82.0,82.0,260000000.0,Apartamento,3170731.0
5012,6.157,-75.589,Antioquia,Envigado,3.0,2.0,85.0,85.0,340000000.0,Apartamento,4000000.0
5013,6.241,-75.583,Antioquia,Medellín,1.0,2.0,53.0,53.0,240000000.0,Apartamento,4528301.0
5014,3.354,-76.52,Valle del Cauca,Cali,3.0,2.0,70.0,70.0,210000000.0,Apartamento,3000000.0
5015,3.398,-76.498,Valle del Cauca,Cali,2.0,2.0,80.0,80.0,130000000.0,Apartamento,1625000.0
5016,3.438,-76.518,Valle del Cauca,Cali,5.0,2.0,50.0,150.0,230000000.0,Casa,4600000.0
5017,3.429,-76.466,Valle del Cauca,Cali,3.0,2.0,60.0,120.0,115000000.0,Casa,1916666.0
5018,3.429,-76.549,Valle del Cauca,Cali,2.0,2.0,69.0,69.0,350000000.0,Apartamento,5072463.0
5019,3.429,-76.549,Valle del Cauca,Cali,2.0,2.0,69.0,69.0,350000000.0,Apartamento,5072463.0
5020,8.216,-73.246,Norte de Santander,Los Patios,3.0,2.0,70.0,70.0,190000000.0,Apartamento,2714285.0
5021,10.986,-74.952,Atlántico,Puerto Colombia,2.0,2.0,68.0,68.0,170000000.0,Apartamento,2500000.0
5022,6.162,-75.634,Antioquia,La Estrella,3.0,2.0,145.0,145.0,390000000.0,Casa,2689655.0
5023,6.164,-75.63,Antioquia,Itagui,3.0,2.0,86.0,86.0,310000000.0,Apartamento,3604651.0
5024,6.159,-75.605,Antioquia,Sabaneta,3.0,2.0,74.0,74.0,300000000.0,Apartamento,4054054.0
5025,3.258,-76.554,Valle del Cauca,Jamundí,3.0,2.0,219.0,162.0,350000000.0,Casa,1598173.0
5026,7.89,-72.477,Norte de Santander,Los Patios,3.0,2.0,75.0,75.0,150000000.0,Casa,2000000.0
5027,3.37,-76.516,Valle del Cauca,Cali,3.0,2.0,70.0,70.0,220000000.0,Apartamento,3142857.0
5028,3.408,-76.527,Valle del Cauca,Cali,3.0,2.0,52.0,52.0,125000000.0,Apartamento,2403846.0
5029,4.65,-74.055,Cundinamarca,Bogotá D.C,1.0,2.0,106.0,106.0,950000000.0,Apartamento,8962264.0
5030,7.136,-73.123,Santander,Bucaramanga,3.0,2.0,62.0,62.0,165000000.0,Apartamento,2661290.0
5031,3.403,-76.504,Valle del Cauca,Cali,6.0,3.0,105.0,315.0,280000000.0,Casa,2666666.0
5032,3.387,-76.537,Valle del Cauca,Cali,4.0,3.0,123.0,123.0,370000000.0,Apartamento,3008130.0
5033,4.723,-74.039,Cundinamarca,Bogotá D.C,3.0,3.0,93.0,93.0,500000000.0,Apartamento,5376344.0
5034,4.723,-74.039,Cundinamarca,Bogotá D.C,3.0,3.0,96.0,96.0,520000000.0,Apartamento,5416666.0
5035,4.723,-74.039,Cundinamarca,Bogotá D.C,3.0,3.0,86.0,86.0,460000000.0,Apartamento,5348837.0
5036,6.159,-75.643,Antioquia,La Estrella,3.0,3.0,61.0,61.0,220000000.0,Apartamento,3606557.0
5037,3.254,-76.545,Valle del Cauca,Jamundí,2.0,3.0,70.0,120.0,170000000.0,Casa,2428571.0
5038,4.671,-74.102,Cundinamarca,Bogotá D.C,4.0,3.0,88.0,162.0,720000000.0,Casa,8181818.0
5040,11.005,-74.806,Atlántico,Barranquilla,3.0,3.0,197.0,197.0,480000000.0,Apartamento,2436548.0
